,id,timestamp,full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,state,sub_area,area_m,raion_popul,healthcare_centers_raion,university_top_20_raion,shopping_centers_raion,oil_chemistry_raion,nuclear_reactor_raion,full_all,young_all,work_all,ekder_all,kremlin_km,big_road1_km,railroad_km,zd_vokzaly_avto_km,metro_km_avto,metro_km_walk,radiation_km,price_doc
11583,11586,2013-10-26,36,20.0,4.0,12.0,1.0,1966.0,1.0,9.0,2.0,Kotlovka,3998216.265,64317,0,0,3,no,no,153248,8284,41476,14557,6.497159057999999,1.240016864,0.09792527,6.308430435,0.8536967190000001,0.8536967190000001,0.748674712,2000000
10865,10868,2013-10-01,45,28.0,1.0,5.0,5.0,1965.0,2.0,5.0,3.0,Zjuzino,5391434.257,123000,0,2,2,no,no,76670,14317,78835,29848,10.26259144,2.618938104,2.7928827999999997,12.18269694,2.117594766,2.111266271,1.4793769680000002,6200000
24860,24863,2014-11-18,37,19.0,13.0,14.0,1.0,1970.0,1.0,9.0,2.0,Horoshevo-Mnevniki,18036436.51,166803,2,0,3,no,no,155427,24814,100601,41388,11.00522732,0.6013363,3.0464012410000003,11.18878246,3.867597494,3.840800981,0.869390667,7850000
21167,21170,2014-07-30,50,30.0,6.0,17.0,4.0,1985.0,2.0,8.0,3.0,Ramenki,18800000.1,125111,5,1,5,no,no,61039,16928,79011,29172,10.04166241,2.851253833,1.513115293,11.12160805,1.138443759,1.138443759,0.657245659,11400000
29005,29008,2015-04-09,57,31.0,4.0,10.0,2.0,1959.0,2.0,6.0,3.0,Tverskoe,7307410.574,75377,3,2,23,no,no,116742,11272,43921,20184,2.764536915,1.456408964,1.665647522,3.1102226,0.984273174,0.433015159,1.610530056,17150000
16208,16211,2014-03-19,35,17.0,5.0,12.0,1.0,1978.0,1.0,6.0,2.0,Otradnoe,10053051.74,175518,1,0,9,no,no,61396,21400,112133,41985,13.29140686,2.462037301,0.17346824800000002,11.37673743,2.4228440069999997,1.8402369280000002,1.431581955,4500000
24837,24840,2014-11-17,38,20.0,1.0,12.0,1.0,1977.0,1.0,8.0,2.0,Orehovo-Borisovo Severnoe,7462269.562999999,129207,0,0,4,no,no,77878,10079,83861,35267,15.38584192,3.229867192,1.445186204,16.22736366,0.846538708,0.846538708,1.712709448,5900000
14625,14628,2014-02-05,89,48.0,12.0,25.0,2.0,2012.0,2.0,14.0,1.0,Poselenie Moskovskij,40366999.51,21819,0,0,2,no,no,7341,3128,13996,4695,22.876491,2.4812056869999997,5.058087901,33.50260562,9.30727972,8.283310039,8.37989497,4985156
27983,27986,2015-02-19,38,17.0,6.0,25.0,4.0,2012.0,1.0,8.0,2.0,Strogino,16751119.46,155427,1,0,10,no,no,156377,20003,97920,37504,14.62462911,0.813480577,3.2045713869999997,18.3543514,1.901929213,1.901929213,3.65094555,7700000
16080,16083,2014-03-15,45,30.0,3.0,5.0,1.0,1979.0,2.0,5.0,2.0,Kuz'minki,7984443.568,142243,1,0,5,no,no,31167,16405,93811,32027,10.24054873,1.256235607,0.747747759,12.47705409,1.516298591,1.551552166,1.161492577,5650000
26057,26060,2014-12-09,38,19.0,7.0,17.0,1.0,1997.0,1.0,8.0,2.0,Donskoe,5686537.395,48439,0,0,3,no,no,91100,7033,28737,12669,5.378048307,0.047092059000000006,0.119608416,6.482108135,1.3866925280000002,1.011919486,0.8771056620000001,6800000
12887,12890,2013-12-07,39,20.0,6.0,22.0,1.0,1997.0,1.0,10.0,3.0,Juzhnoe Tushino,7887684.174,104434,0,0,1,no,no,105663,12906,65729,25799,16.724742199999998,0.558012914,1.26641194,14.81321314,3.2097480910000002,3.2050037999999996,3.340643187,6125000
24875,24878,2014-11-18,76,50.0,3.0,5.0,2.0,1959.0,3.0,7.0,2.0,Ajeroport,4662813.069,73007,0,1,3,no,no,1100773,9151,44166,19690,7.067196784,0.697344291,0.550175166,3.979691501,1.2501865159999999,1.2501865159999999,4.546201404,13500000
23654,23657,2014-10-17,33,13.0,15.0,25.0,6.0,2012.0,1.0,10.0,2.0,Poselenie Sosenskoe,66772450.69,9553,0,0,0,no,no,13890,1370,6127,2056,21.21319954,1.539620295,4.239070118,22.64678901,6.263600477000001,6.263600477000001,3.9681142489999996,3600000
16965,16968,2014-04-03,78,78.0,9.0,1.0,1.0,2014.0,2.0,1.0,1.0,Izmajlovo,15045565.2,102828,6,0,6,no,no,122862,10988,65499,26341,10.48800676,3.669179113,1.056147197,9.119672392,1.9256557630000002,1.786701396,1.9735089080000001,15055211
29272,29275,2015-04-21,78,46.0,17.0,17.0,1.0,2000.0,3.0,10.0,3.0,Kon'kovo,7811375.433999999,153248,3,0,11,no,no,123000,16468,100062,36718,11.86750878,1.127323479,5.317429462,12.96795497,1.338233428,1.338233428,0.622953065,17000000
23989,23992,2014-10-27,51,30.0,16.0,17.0,1.0,2003.0,2.0,9.0,3.0,Nagornoe,5293464.965,77878,3,0,2,no,no,115352,10600,49882,17396,10.61566712,0.630194164,0.783069157,10.08810031,0.564294901,0.564294901,0.49887028,11600000
26237,26240,2014-12-11,43,28.0,5.0,5.0,2.0,1934.0,2.0,5.0,3.0,Danilovskoe,12495435.25,91100,3,0,11,no,no,102590,12370,54478,24252,3.3617748119999997,1.373969824,1.284565345,2.554646961,0.974267958,1.12722639,0.811143897,10150000
10432,10435,2013-09-11,32,18.0,8.0,9.0,1.0,1972.0,1.0,5.0,2.0,Pechatniki,18445806.5,83369,0,0,2,no,no,43795,10341,51393,21635,9.741079048,2.659037124,0.337656095,10.84608807,1.160770481,1.160770481,0.867956574,5000000
22020,22023,2014-08-29,37,17.0,3.0,25.0,1.0,1983.0,1.0,8.0,2.0,Tverskoe,7307410.574,75377,3,2,23,no,no,116742,11272,43921,20184,0.072896553,4.081282581,2.566044379,4.060429824,1.036567808,1.121589009,0.890000675,7100000
23281,23284,2014-10-06,61,61.0,9.0,22.0,1.0,0.0,2.0,0.0,1.0,Poselenie Vnukovskoe,25536296.81,4001,0,0,1,no,no,17790,574,2566,861,22.37012991,2.8086279239999996,1.872258393,26.27225656,2.295028376,2.295028376,9.491492225,7299380
19429,19432,2014-06-06,74,45.0,8.0,17.0,1.0,1986.0,3.0,10.0,3.0,Orehovo-Borisovo Juzhnoe,7128794.3379999995,145576,1,0,6,no,no,129207,13595,104635,27346,17.82815607,0.372979419,3.171195855,19.46480812,1.201227532,1.201227532,3.265930615,9400000
28751,28754,2015-03-31,44,27.0,4.0,5.0,2.0,1960.0,2.0,5.0,2.0,Vostochnoe Izmajlovo,3799999.352,76308,4,0,1,no,no,118945,10530,48790,16988,13.24168353,1.6098171769999998,1.671366491,11.58459504,1.639033902,1.637300191,1.766053029,2000000
23538,23541,2014-10-14,34,21.0,2.0,9.0,1.0,1977.0,1.0,6.0,3.0,Orehovo-Borisovo Juzhnoe,7128794.3379999995,145576,1,0,6,no,no,129207,13595,104635,27346,17.13504588,1.324996078,2.9907750639999997,18.0456343,0.834754042,0.834754042,2.8804406119999997,5900000
14374,14377,2014-01-30,18,14.0,5.0,5.0,2.0,1970.0,1.0,1.0,2.0,Solncevo,11324091.93,113897,2,0,5,no,no,125111,16287,75334,22276,16.23246452,1.0701725770000001,1.075474726,20.78802675,0.8481087959999999,0.8481087959999999,3.864370463,1000000
14551,14554,2014-02-04,82,45.0,10.0,17.0,1.0,2000.0,3.0,13.0,2.0,Mar'ino,11754772.16,247469,5,0,15,no,no,165727,40692,161290,45487,13.04117052,4.30856005,2.280072929,14.7066282,1.398017436,1.398017436,0.865505036,12400000
18719,18722,2014-05-21,38,19.0,4.0,14.0,1.0,1997.0,1.0,8.0,2.0,Vyhino-Zhulebino,15094874.77,219609,3,0,8,no,no,1318695,22341,140182,57086,16.32202122,0.36164539700000004,1.8550783780000002,16.66576562,0.447658909,0.447658909,2.887753504,6100000
21445,21448,2014-08-12,37,0.0,9.0,0.0,6.0,2016.0,1.0,0.0,1.0,Poselenie Shherbinka,7878765.472999999,32241,0,0,1,no,no,39873,4207,20445,7589,28.15157234,1.9217305880000002,1.133269037,29.50249497,7.452168749,7.468866947,9.849306808,3166838
24257,24260,2014-10-31,63,38.0,7.0,9.0,1.0,1973.0,3.0,8.0,2.0,Vostochnoe Degunino,3875439.354,94564,1,0,4,no,no,64931,13938,59008,21618,11.85139434,0.464973985,0.35182625700000003,8.37139648,0.8036405040000001,0.8036405040000001,0.922972183,9400000
21452,21455,2014-08-12,92,54.0,3.0,17.0,6.0,2005.0,3.0,12.0,3.0,Juzhnoportovoe,4579593.033,71715,4,0,7,no,no,101708,9458,44334,17923,4.95181401,0.311349888,0.336987735,5.525298692000001,1.03827744,1.03827744,2.919332839,10400000
20807,20810,2014-07-12,32,18.0,9.0,9.0,1.0,1975.0,1.0,5.0,2.0,Chertanovo Central'noe,6879019.637999999,112221,0,0,6,no,no,111874,16719,68254,27248,14.79385387,1.295971931,2.626854961,16.08160882,1.2491028770000001,1.155146285,3.009505326,5000000
19164,19167,2014-05-30,116,73.0,4.0,9.0,2.0,1957.0,4.0,10.0,2.0,Juzhnoportovoe,4579593.033,71715,4,0,7,no,no,101708,9458,44334,17923,6.073311167999999,0.6767264159999999,0.707867716,7.779455947000001,1.108327124,0.886282352,3.401919958,16500000
20947,20950,2014-07-17,116,116.0,8.0,12.0,6.0,2016.0,3.0,1.0,1.0,Poselenie Sosenskoe,66772450.69,9553,0,0,0,no,no,13890,1370,6127,2056,21.98598823,1.455619334,3.991991933,23.04390177,6.07881554,6.07881554,4.782672741,8523460
20436,20439,2014-06-30,59,43.0,8.0,9.0,1.0,1976.0,3.0,8.0,3.0,Bibirevo,6407578.1,155572,1,0,16,no,no,86206,21154,98207,36211,15.56680727,0.488382838,0.7122026770000001,15.71294123,3.278716311,2.276555882,2.830980498,9700000
26504,26507,2014-12-16,42,20.0,7.0,12.0,1.0,1978.0,1.0,8.0,3.0,Gol'janovo,14286990.83,157010,3,0,5,no,no,12327,16831,98260,41919,14.93658735,0.657560072,2.792083313,13.118230300000002,3.221898913,2.9071868110000003,2.903137028,6200000
23622,23625,2014-10-16,65,32.0,1.0,11.0,2.0,1957.0,2.0,6.0,2.0,Sokolinaja Gora,7905261.321,85956,5,1,8,no,no,85083,9647,55337,20972,6.495142657000001,1.850191289,0.19320451800000002,3.908935175,0.368894249,0.368894249,0.8965922209999999,9900000
10066,10069,2013-08-26,50,23.0,8.0,14.0,1.0,2006.0,1.0,11.0,2.0,Kosino-Uhtomskoe,14883622.34,72131,1,0,0,no,no,102828,13954,49242,8935,16.81166468,2.2229066140000002,1.8889758580000002,22.06522026,0.47879906299999997,0.47879906299999997,1.005083655,6500000
17992,17995,2014-04-29,53,30.0,1.0,14.0,1.0,1988.0,2.0,8.0,3.0,Mar'ino,11754772.16,247469,5,0,15,no,no,165727,40692,161290,45487,13.05512981,4.7288059,1.4735592180000001,14.93535922,1.4877909130000002,1.6009510059999998,1.655361206,8350000
9067,9070,2013-07-09,41,20.0,11.0,12.0,1.0,1978.0,1.0,8.0,2.0,Ivanovskoe,10207215.1,122862,1,0,1,no,no,157010,12919,77612,32331,13.19717902,0.710102375,1.4762076569999998,12.91216534,3.6910178960000004,3.2948822289999997,1.4992647190000001,5350000
22261,22264,2014-09-05,45,28.0,7.0,12.0,1.0,1965.0,2.0,7.0,2.0,Taganskoe,8087656.379,116742,3,1,19,no,no,123280,14715,71253,30774,2.187457556,1.8272301919999998,0.33965922600000004,0.636063141,0.39219582799999997,0.32966508899999997,1.654011686,1000000
23177,23180,2014-10-01,49,29.0,3.0,5.0,2.0,1951.0,2.0,7.0,3.0,Shhukino,7963518.819,105663,3,0,7,no,yes,166803,14588,64875,26200,9.019547562,1.617941714,0.541230089,7.8637581679999995,0.268604093,0.268604093,2.243497274,11200000
20217,20220,2014-06-26,40,23.0,12.0,14.0,5.0,1973.0,2.0,5.0,3.0,Vostochnoe Izmajlovo,3799999.352,76308,4,0,1,no,no,118945,10530,48790,16988,13.66750673,1.208174415,2.0800594709999998,11.83332889,2.037621068,2.038368071,1.579707989,5000000
27425,27428,2015-01-21,82,82.0,5.0,10.0,1.0,0.0,3.0,0.0,1.0,Poselenie Sosenskoe,66772450.69,9553,0,0,0,no,no,13890,1370,6127,2056,22.56765524,1.4440976630000002,3.852319982,24.61318839,5.801570545,5.801570545,5.368975411,8504322
10692,10695,2013-09-24,45,30.0,6.0,12.0,1.0,1981.0,2.0,6.0,3.0,Ljublino,17881913.61,165727,3,0,4,no,no,89971,23651,107626,34450,12.47880871,3.280203493,2.394386598,13.87582016,0.627266138,0.627266138,0.251295932,7300000
22101,22104,2014-09-02,38,20.0,16.0,16.0,1.0,1979.0,1.0,8.0,2.0,Otradnoe,10053051.74,175518,1,0,9,no,no,61396,21400,112133,41985,11.05029253,1.295902125,0.594264847,9.682728119,2.001183211,1.101264673,0.444854729,6500000
8933,8936,2013-07-04,106,72.0,4.0,4.0,2.0,1917.0,5.0,8.0,2.0,Presnenskoe,11638050.15,123280,2,1,5,no,no,57999,14906,75357,33017,0.756164898,3.778567225,1.8178535969999998,3.623539343,0.960505343,0.545279206,1.238314961,22800000
21804,21807,2014-08-22,30,18.0,3.0,5.0,2.0,1964.0,1.0,5.0,2.0,Mozhajskoe,16861532.79,132349,1,0,9,no,no,142462,20725,82808,28816,13.08987694,0.74567613,0.27049543800000003,11.92583397,2.5816353359999997,3.51791165,0.595202428,1000000
21230,21233,2014-08-01,73,44.0,4.0,17.0,1.0,1998.0,3.0,10.0,3.0,Mitino,12583535.69,178473,1,0,11,no,no,21155,28563,120381,29529,19.56649515,2.72878439,2.082551485,17.55496419,1.0611204159999998,1.040385841,6.420218867000001,12500000
11071,11074,2013-10-08,66,44.0,4.0,12.0,1.0,1973.0,3.0,7.0,3.0,Ivanovskoe,10207215.1,122862,1,0,1,no,no,157010,12919,77612,32331,12.73961373,0.436224357,2.404107036,12.30870624,2.342438854,1.9847640340000001,1.7079857059999999,9300000
23101,23104,2014-09-30,67,37.0,5.0,5.0,2.0,1953.0,2.0,8.0,3.0,Vojkovskoe,5333221.259,64931,2,0,5,no,no,73148,8240,38266,18425,9.826297915,1.110504776,0.806958508,9.306417647,1.161193722,1.122373294,4.28680732,11500000
13142,13145,2013-12-16,30,17.0,2.0,5.0,1.0,1961.0,1.0,6.0,3.0,Presnenskoe,11638050.15,123280,2,1,5,no,no,57999,14906,75357,33017,5.884731786000001,0.793879772,0.452161727,7.233710946,0.743850673,0.819686865,1.328049297,6200000
21647,21650,2014-08-19,75,44.0,5.0,17.0,1.0,1992.0,3.0,10.0,2.0,Nagatino-Sadovniki,7750777.821,76284,2,0,10,no,no,76156,10168,46080,20036,7.814653357999999,1.579786736,0.875046326,8.032189489,1.4028126969999999,1.4028126969999999,2.7009358339999996,14500000
26556,26559,2014-12-16,75,44.0,7.0,17.0,1.0,1991.0,3.0,10.0,2.0,Krjukovo,10842309.74,85219,2,0,4,no,no,221709,12194,58114,14911,38.31782491,4.335573199,0.316968762,39.01938945,21.754626199999997,21.70294301,22.91256168,9700000
17604,17607,2014-04-18,40,38.0,5.0,17.0,1.0,2014.0,1.0,1.0,1.0,Nekrasovka,11391678.48,19940,0,0,0,no,no,247469,3459,13331,3150,20.54946417,1.905125046,1.2148613240000001,24.06121446,3.7768359589999996,3.7768359589999996,4.317743898,4400000
24499,24502,2014-11-10,15,11.0,5.0,5.0,2.0,1952.0,1.0,1.0,2.0,Vostochnoe Izmajlovo,3799999.352,76308,4,0,1,no,no,118945,10530,48790,16988,13.10250494,1.379113342,1.557713355,11.87175521,1.317076548,1.317076548,1.159088874,2000000
16261,16264,2014-03-20,42,21.0,12.0,14.0,1.0,1992.0,1.0,8.0,2.0,Severnoe Butovo,8889466.752,90114,2,0,8,no,no,78616,10562,65270,14282,19.51231775,0.19508392,1.259992359,19.59060988,1.3767052119999998,1.685724345,1.71510111,6050000
20616,20619,2014-07-07,74,50.0,3.0,18.0,2.0,2016.0,2.0,12.0,1.0,Poselenie Sosenskoe,66772450.69,9553,0,0,0,no,no,13890,1370,6127,2056,21.64326296,1.3658306180000002,4.193177195,22.73775221,5.933519931,5.933519931,4.4971351980000005,5579930
27122,27125,2014-12-25,63,46.0,8.0,9.0,1.0,1978.0,4.0,5.0,2.0,Zjuzino,5391434.257,123000,0,2,2,no,no,76670,14317,78835,29848,11.3646007,3.155011796,3.318221039,13.54430858,2.171627069,2.123250719,1.705203291,10500000
14885,14888,2014-02-11,51,30.0,9.0,17.0,1.0,1991.0,2.0,8.0,3.0,Vostochnoe Degunino,3875439.354,94564,1,0,4,no,no,64931,13938,59008,21618,14.20014087,1.176796092,0.154929062,11.36282188,2.577251148,2.547392884,1.338797498,8300000
18756,18759,2014-05-22,32,18.0,2.0,9.0,1.0,1976.0,1.0,6.0,2.0,Birjulevo Vostochnoe,14795571.25,145088,2,0,3,no,no,1716730,21130,93008,30950,19.14059139,0.696081669,0.193334023,20.24373081,6.404764579,6.307676565,2.529636452,4400000
11776,11779,2013-11-01,52,30.0,7.0,12.0,1.0,1981.0,2.0,8.0,4.0,Bibirevo,6407578.1,155572,1,0,16,no,no,86206,21154,98207,36211,15.33241551,0.722509105,0.482805441,14.01339174,2.721313515,1.9386388280000002,2.750606918,8300000
24991,24994,2014-11-20,31,20.0,1.0,5.0,1.0,1967.0,1.0,5.0,2.0,Severnoe Tushino,9249237.174,156377,3,0,5,no,no,53786,22961,93843,39573,16.89034,0.9776289159999999,1.57525095,16.15517484,2.822130295,2.822130295,3.617306195,5100000
17546,17549,2014-04-17,63,40.0,6.0,7.0,2.0,1959.0,2.0,9.0,3.0,Novogireevo,4395332.782,94561,2,0,5,no,no,72131,13523,56908,24130,10.45543387,2.146793123,0.650724481,10.91253405,0.883834295,0.883834295,0.47460369799999996,4000000
20596,20599,2014-07-04,57,31.0,6.0,16.0,1.0,1982.0,2.0,10.0,3.0,Dmitrovskoe,7126815.285,87713,1,0,5,no,yes,100846,9604,61600,16509,16.48564596,0.9434690999999998,1.277804119,13.39356663,4.252995262,4.22042048,2.42236049,3000000
14038,14041,2014-01-23,75,45.0,17.0,17.0,1.0,1989.0,3.0,10.0,3.0,Juzhnoportovoe,4579593.033,71715,4,0,7,no,no,101708,9458,44334,17923,6.654928155,1.363929089,0.830409207,7.474495452999999,1.291809671,0.761914586,2.547757933,12600000
21084,21087,2014-07-24,51,30.0,3.0,17.0,1.0,2012.0,2.0,9.0,3.0,Poselenie Moskovskij,40366999.51,21819,0,0,2,no,no,7341,3128,13996,4695,22.96806278,2.5520713280000002,5.154312741,33.16445593,8.969130033999999,7.9451603539999995,8.467249649,4549600
26052,26055,2014-12-09,42,20.0,11.0,12.0,1.0,1980.0,1.0,8.0,3.0,Otradnoe,10053051.74,175518,1,0,9,no,no,61396,21400,112133,41985,10.82726693,2.919608315,0.296401305,8.118112502,1.8839207080000002,1.762529802,2.132385483,7060000
29445,29448,2015-04-28,60,43.0,6.0,9.0,1.0,1975.0,3.0,5.0,2.0,Teplyj Stan,8392316.21,130396,1,0,5,no,no,90114,15541,76776,38079,15.11363072,1.080098171,5.418172125,24.46474051,3.5176121730000003,3.299373723,1.381005541,11000000
28474,28477,2015-03-19,77,45.0,14.0,14.0,1.0,1992.0,3.0,8.0,3.0,Severnoe Butovo,8889466.752,90114,2,0,8,no,no,78616,10562,65270,14282,20.08225176,0.625154573,0.9251546070000001,20.18167204,1.283021163,0.873606902,2.0527283240000003,12000000
12021,12024,2013-11-11,39,20.0,17.0,22.0,1.0,2001.0,1.0,10.0,3.0,Golovinskoe,8841267.454,100846,2,0,5,no,yes,94564,10346,63495,27005,13.07662375,1.61114479,0.184963942,10.86444286,3.124783517,3.1028309710000004,3.430028365,6380000
9976,9979,2013-08-21,51,30.0,5.0,17.0,1.0,2000.0,2.0,8.0,3.0,Mar'ino,11754772.16,247469,5,0,15,no,no,165727,40692,161290,45487,12.97806099,4.4147960369999995,2.040034873,14.37445655,1.121452253,0.970025005,0.731333841,8500000
26064,26067,2014-12-09,77,50.0,6.0,25.0,6.0,2016.0,3.0,10.0,1.0,Nagatinskij Zaton,9589336.912,115352,1,0,3,no,no,76284,15727,70194,29431,8.76547251,3.247861766,1.688353925,10.8083105,2.21306174,2.200777516,2.435159864,15084625
9527,9530,2013-07-30,50,28.0,14.0,22.0,1.0,1985.0,2.0,7.0,2.0,Pokrovskoe Streshnevo,13089795.79,53786,4,0,5,no,no,178473,6931,33149,13706,12.78877917,2.4374273840000003,0.20451770800000002,10.56978703,1.5216680809999998,1.5216680809999998,0.625687784,9000000
26329,26332,2014-12-12,38,38.0,12.0,17.0,1.0,2015.0,1.0,1.0,1.0,Poselenie Vnukovskoe,25536296.81,4001,0,0,1,no,no,17790,574,2566,861,21.72262007,2.148397695,2.34234566,27.421853000000002,3.444624819,3.444624819,8.545592812999999,5332762
17330,17333,2014-04-14,40,40.0,16.0,17.0,1.0,0.0,1.0,10.0,1.0,Solncevo,11324091.93,113897,2,0,5,no,no,125111,16287,75334,22276,16.95715522,1.7945698019999998,0.8744451190000001,20.07121948,2.037572376,2.037572376,4.687054293,3971080
26503,26506,2014-12-16,36,36.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,Teplyj Stan,8392316.21,130396,1,0,5,no,no,90114,15541,76776,38079,13.91637961,2.110809052,6.039982214,15.06935194,0.6777175190000001,0.6777175190000001,0.437783628,5473100
17774,17777,2014-04-23,40,38.0,14.0,17.0,1.0,2014.0,1.0,1.0,1.0,Nekrasovka,11391678.48,19940,0,0,0,no,no,247469,3459,13331,3150,20.54946417,1.905125046,1.2148613240000001,24.06121446,3.7768359589999996,3.7768359589999996,4.317743898,4400000
19870,19873,2014-06-20,33,14.0,13.0,24.0,1.0,1998.0,1.0,10.0,2.0,Vyhino-Zhulebino,15094874.77,219609,3,0,8,no,no,1318695,22341,140182,57086,14.85990451,0.54898473,0.773456005,17.63857848,0.941047141,0.941047141,1.980027239,5600000
28176,28179,2015-03-03,61,61.0,10.0,20.0,1.0,0.0,2.0,1.0,1.0,Poselenie Vnukovskoe,25536296.81,4001,0,0,1,no,no,17790,574,2566,861,22.45027177,2.8550634560000003,1.86400693,26.26304046,2.2858122819999998,2.2858122819999998,9.591465255,7557853
9965,9968,2013-08-21,54,30.0,10.0,14.0,1.0,2002.0,2.0,5.0,4.0,Novogireevo,4395332.782,94561,2,0,5,no,no,72131,13523,56908,24130,9.831401022,2.490204394,0.335370485,10.51061734,1.78232164,1.78232164,1.3484497780000002,9600000
11519,11522,2013-10-24,68,44.0,8.0,14.0,1.0,1976.0,3.0,9.0,3.0,Alekseevskoe,5234028.171,78418,2,0,0,no,no,1359171,8186,52919,17313,7.07979362,1.151647047,0.33895886299999994,3.62620193,1.6716640219999999,1.792549704,0.989201786,11400000
